date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2016_01_04 04:57:01	27.58	30.46	22.50	81.00	338.83	25.00	 9.20
2016_01_04 05:02:04	28.02	30.11	24.92	88.00	325.82	14.00	11.00
2016_01_04 05:06:37	28.18	30.11	25.14	88.20	327.20	15.00	 8.80
2016_01_04 05:07:04	28.18	30.11	25.14	88.20	327.20	15.00	 8.80
2016_01_04 05:11:37	28.48	30.11	25.38	88.00	357.49	17.00	11.80
2016_01_04 05:12:04	28.48	30.11	25.38	88.00	357.49	17.00	11.80
2016_01_04 05:16:37	28.32	30.11	25.04	87.40	16.00	17.00	12.00
2016_01_04 05:17:05	28.32	30.11	25.04	87.40	16.00	17.00	12.00
2016_01_04 05:21:37	28.08	30.11	24.68	87.00	 0.52	17.00	10.00
2016_01_04 05:22:05	28.08	30.11	24.68	87.00	 0.52	17.00	10.00
2016_01_04 05:26:37	28.28	30.11	25.06	87.60	 8.81	17.00	12.20
2016_01_04 05:27:05	28.28	30.11	25.06	87.60	 8.81	17.00	12.20
2016_01_04 05:31:37	28.20	30.11	24.76	86.80	346.60	17.00	 8.40
2016_01_04 05:32:05	28.20	30.11	24.76	86.80	346.60	17.00	 8.40
2016_01_04 05:36:37	28.00	30.11	24.32	85.80	351.19	12.00	 8.60
2016_01_04 05:37:05	28.00	30.11	24.32	85.80	351.19	12.00	 8.60
2016_01_04 05:41:38	27.92	30.11	24.28	86.00	341.36	13.00	 8.60
2016_01_04 05:42:05	27.92	30.11	24.28	86.00	341.36	13.00	 8.60
2016_01_04 05:46:38	27.92	30.11	24.54	87.00	349.14	13.00	 7.40
2016_01_04 05:47:05	27.92	30.11	24.54	87.00	349.14	13.00	 7.40
2016_01_04 05:51:38	28.32	30.11	25.06	87.40	345.19	13.00	 8.20
2016_01_04 05:52:05	28.32	30.11	25.06	87.40	345.19	13.00	 8.20
2016_01_04 05:56:38	28.56	30.10	25.12	86.80	 2.32	13.00	 7.80
2016_01_04 05:57:06	28.56	30.10	25.12	86.80	 2.32	13.00	 7.80
2016_01_04 06:01:38	28.36	30.10	24.84	86.40	 6.21	18.00	14.80
2016_01_04 06:02:06	28.36	30.10	24.84	86.40	 6.21	18.00	14.80
2016_01_04 06:06:38	28.14	30.11	24.58	86.20	 5.61	18.00	13.00
2016_01_04 06:07:06	28.14	30.11	24.58	86.20	 5.61	18.00	13.00
2016_01_04 06:11:38	28.10	30.11	24.32	85.40	 5.25	18.00	11.20
2016_01_04 06:12:06	28.10	30.11	24.32	85.40	 5.25	18.00	11.20
2016_01_04 06:16:38	28.44	30.10	24.96	86.60	 1.45	18.00	13.00
2016_01_04 06:17:06	28.44	30.10	24.96	86.60	 1.45	18.00	13.00
2016_01_04 06:21:38	28.18	30.10	24.48	85.80	 0.29	18.00	11.40
2016_01_04 06:22:06	28.18	30.10	24.48	85.80	 0.29	18.00	11.40
2016_01_04 06:26:38	28.08	30.10	24.56	86.40	 0.63	18.00	 8.60
2016_01_04 06:27:06	28.08	30.10	24.56	86.40	 0.63	18.00	 8.60
2016_01_04 06:31:38	28.04	30.10	24.42	86.00	334.34	18.00	 6.40
2016_01_04 06:32:06	28.04	30.10	24.42	86.00	334.34	18.00	 6.40
2016_01_04 06:36:38	28.32	30.09	24.84	86.60	339.69	14.00	 9.80
2016_01_04 06:37:06	28.32	30.09	24.84	86.60	339.69	14.00	 9.80
2016_01_04 06:41:38	28.72	30.09	25.14	86.20	358.21	14.00	 6.60
2016_01_04 06:42:06	28.72	30.09	25.14	86.20	358.21	14.00	 6.60
2016_01_04 06:46:39	28.66	30.09	24.98	85.80	13.68	19.00	13.80
2016_01_04 06:47:06	28.66	30.09	24.98	85.80	13.68	19.00	13.80
2016_01_04 06:51:39	28.28	30.09	24.72	86.20	 6.39	19.00	15.00
2016_01_04 06:52:07	28.28	30.09	24.72	86.20	 6.39	19.00	15.00
2016_01_04 06:56:39	28.16	30.09	24.50	85.80	357.82	19.00	10.00
2016_01_04 06:57:07	28.16	30.09	24.50	85.80	357.82	19.00	10.00
2016_01_04 07:01:39	28.34	30.09	24.56	85.40	 0.62	19.00	12.00
2016_01_04 07:02:07	28.34	30.09	24.56	85.40	 0.62	19.00	12.00
2016_01_04 07:06:39	28.10	30.09	24.02	84.40	347.55	15.00	10.40
2016_01_04 07:07:07	28.10	30.09	24.02	84.40	347.55	15.00	10.40
2016_01_04 07:11:39	28.10	30.08	24.08	84.60	345.92	15.00	 7.60
2016_01_04 07:12:07	28.10	30.08	24.08	84.60	345.92	15.00	 7.60
2016_01_04 07:16:39	28.28	30.08	24.44	85.20	353.52	15.00	 7.20
2016_01_04 07:17:07	28.28	30.08	24.44	85.20	353.52	15.00	 7.20
2016_01_04 07:21:39	28.58	30.08	24.80	85.40	 0.37	18.00	 7.40
2016_01_04 07:22:07	28.58	30.08	24.80	85.40	 0.37	18.00	 7.40
2016_01_04 07:26:39	28.52	30.08	24.44	84.40	11.60	18.00	14.40
2016_01_04 07:27:07	28.52	30.08	24.44	84.40	11.60	18.00	14.40
2016_01_04 07:31:39	28.32	30.08	24.42	85.00	 5.81	18.00	10.20
2016_01_04 07:32:07	28.32	30.08	24.42	85.00	 5.81	18.00	10.20
2016_01_04 07:36:39	28.46	30.08	24.90	86.20	354.20	16.00	 9.40
2016_01_04 07:37:07	28.46	30.08	24.90	86.20	354.20	16.00	 9.40
2016_01_04 07:41:39	28.36	30.08	24.46	85.00	347.60	16.00	 7.00
2016_01_04 07:42:07	28.36	30.08	24.46	85.00	347.60	16.00	 7.00
2016_01_04 07:46:39	28.30	30.08	24.44	85.20	356.41	16.00	 9.20
2016_01_04 07:47:07	28.30	30.08	24.44	85.20	356.41	16.00	 9.20
2016_01_04 07:51:39	28.14	30.08	24.00	84.20	 5.39	16.00	 8.80
2016_01_04 07:52:07	28.14	30.08	24.00	84.20	 5.39	16.00	 8.80
2016_01_04 07:56:39	28.24	30.08	24.16	84.40	16.21	16.00	10.60
2016_01_04 07:57:08	28.24	30.08	24.16	84.40	16.21	16.00	10.60
2016_01_04 08:01:40	28.16	30.08	24.32	85.20	21.21	17.00	13.20
2016_01_04 08:02:08	28.16	30.08	24.32	85.20	21.21	17.00	13.20
2016_01_04 08:06:40	28.22	30.08	24.38	85.20	14.42	19.00	11.40
2016_01_04 08:07:08	28.22	30.08	24.38	85.20	14.42	19.00	11.40
2016_01_04 08:11:40	28.22	30.08	24.38	85.20	346.80	19.00	 8.80
2016_01_04 08:12:08	28.22	30.08	24.38	85.20	346.80	19.00	 8.80
2016_01_04 08:16:40	28.24	30.08	24.22	84.60	358.04	19.00	 8.80
